Date,Day,Images_count,Songs,Uploaded,ID
2023-04-14,,1436.0,"good-vibes-127577.mp3,happy-day-113985.mp3,relaxed-vlog-night-street-131746.mp3,price-of-freedom-33106.mp3",2023-05-04,qhFoJwCL-Mk
2023-04-15,,1440.0,"stranger-things-124008.mp3,lofi-study-112191.mp3,weeknds-122592.mp3,lo-fi-chillhop-beat-background-music-133473.mp3,leonell-cassio-the-blackest-bouquet-118766.mp3",2023-05-04,kBV37fOiCYA
2023-04-16,,280.0,"lo-fi-chillhop-beat-background-music-133473.mp3,electronic-future-beats-117997.mp3",2023-05-05,zRRDfZoH36A
2023-04-17,,92.0,easy-lifestyle-137766.mp3,2023-05-05,Lnbdl0ZvYIg
2023-04-21,,62.0,stranger-things-124008.mp3,2023-05-05,QdgHiQ61HjE
2023-04-22,,1438.0,"midnight-138704.mp3,a-small-miracle-132333.mp3,lofi-study-112191.mp3,space-120280.mp3,leonell-cassio-the-blackest-bouquet-118766.mp3",2023-05-05,CdYbtkCatJk
2023-04-23,,1438.0,"the-beat-of-nature-122841.mp3,itx27s-time-to-get-up-138523.mp3,password-infinity-123276.mp3,passion-127011.mp3,morning-garden-acoustic-chill-15013.mp3",2023-05-05,bY0csG8CAnE
2023-04-24,,1438.0,"morning-garden-acoustic-chill-15013.mp3,password-infinity-123276.mp3,lady-of-the-80x27s-128379.mp3,passion-127011.mp3",2023-05-05,sZOwTKNqYvY
2023-04-25,,1434.0,relaxing-birds-and-piano-music-137153.mp3,2023-05-06,HHLgAAPCcj8
2023-04-26,,1438.0,"motivational-electronic-distant-132919.mp3,forest-lullaby-110624.mp3,midnight-138704.mp3,abstract-world-127012.mp3,lullaby-of-the-stars-calm-acoustic-guitar-for-sleep-relaxing-139209.mp3",2023-05-06,ZxumTcx_Xck
2023-04-27,,1440.0,"cinematic-documentary-115669.mp3,cosmic-glow-6703.mp3,just-relax-11157.mp3,the-beat-of-nature-122841.mp3",2023-05-06,CySSpHP2b5M
2023-04-28,,1426.0,"the-weekend-117427.mp3,anima-main-7426.mp3,lullaby-for-a-frantic-world-144946.mp3,always-with-me-always-with-you-long-21256.mp3",2023-05-06,lk5MZ49zmVQ
2023-04-29,,1440.0,"music-box-music-by-ernst-gottlieb-baron-1696-1760-6-13237.mp3,weeknds-122592.mp3",2023-05-06,4ZiR5kp5PJE
2023-04-30,,1440.0,"weeknds-122592.mp3,sedative-110241.mp3,morning-garden-acoustic-chill-15013.mp3,beyond-the-time-main-7425.mp3",2023-05-06,xJJXGjRbrhg
2023-05-01,,1440.0,"always-with-me-always-with-you-piano-long-21257.mp3,relaxing-birds-and-piano-music-137153.mp3",2023-05-08,F4fT7Ob22zA
2023-05-02,,1438.0,"emotional-thoughtful-piano-141580.mp3,lady-of-the-80x27s-128379.mp3,password-infinity-123276.mp3,aesthetics-138637.mp3,beyond-the-time-main-7425.mp3",2023-05-08,MbPr6TR4ol8
2023-05-03,,1428.0,"always-with-me-always-with-you-long-21256.mp3,sedative-110241.mp3,motivational-electronic-distant-132919.mp3",2023-05-08,kpK_xAPNKuw
2023-05-04,,1434.0,"lifelike-126735.mp3,sleep-lullaby-142090.mp3,stranger-things-124008.mp3,jingle-bells-11295.mp3",2023-05-08,mXxfB7NsZpE
2023-05-05,Friday,1434.0,"lullaby-of-the-stars-calm-acoustic-guitar-for-sleep-relaxing-139209.mp3,easy-lifestyle-137766.mp3,energetic-funky-groove-138634.mp3,a-small-miracle-132333.mp3,sedative-110241.mp3",2023-05-08,-4QxKxfoZVo
2023-05-06,Saturday,1436.0,"brahms-lullaby-violin-129646.mp3,music-box-music-by-ernst-gottlieb-baron-1696-1760-6-13237.mp3",2023-05-08,wWJVp9aqTF4
2023-05-07,Sunday,1440.0,"music-box-music-by-ernst-gottlieb-baron-1696-1760-6-13237.mp3,lady-of-the-80x27s-128379.mp3",2023-05-08,p-Hw8Rf8hwY
2023-05-08,Monday,1436.0,"password-infinity-123276.mp3,good-vibes-127577.mp3,please-calm-my-mind-125566.mp3,beyond-the-time-main-7425.mp3,forest-story-acoustic-ambient-background-music-9713.mp3",2023-05-10,Iy7o0VKPeUA
2023-05-09,Tuesday,1434.0,"mountain-path-125573.mp3,good-vibes-127577.mp3,happy-day-113985.mp3,forest-lullaby-110624.mp3,beyond-the-time-main-7425.mp3",2023-05-10,n1K9uiqHjmo
2023-05-10,Wednesday,1432.0,"aesthetics-138637.mp3,leonell-cassio-the-blackest-bouquet-118766.mp3,sedative-110241.mp3,a-walk-with-god1111-143838.mp3",2023-05-19,gwlfZ0KWPGs
2023-05-11,Thursday,1436.0,"lofi-study-112191.mp3,weeknds-122592.mp3,sleep-lullaby-142090.mp3,passion-127011.mp3",2023-05-19,1aRBJFLq1Rc
2023-05-12,Friday,1440.0,"happy-day-113985.mp3,inspiring-cinematic-ambient-116199.mp3,weeknds-122592.mp3,endless-by-prabajithk-118998.mp3",2023-05-19,dux4nQ9vOlA
2023-05-13,Saturday,1440.0,"a-small-miracle-132333.mp3,the-beat-of-nature-122841.mp3,always-with-me-always-with-you-piano-long-21257.mp3,goldn-116392.mp3",2023-05-19,iROsp90I038
2023-05-14,Sunday,968.0,"goldn-116392.mp3,abstract-world-127012.mp3,emotional-thoughtful-piano-141580.mp3",2023-05-19,mmAfE0PCtKI
